epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.1579,2.27694,9.64853,0.01971,0.00231,0.34127,0.00588,0.00213,1.98525,5.9816,0.01914,3.334e-05,3.334e-05,3.334e-05
2,7.23031,2.29357,9.76279,0.02625,0.00307,0.42619,0.00711,0.00292,1.95322,5.99399,0.01783,8.33084e-05,8.33084e-05,8.33084e-05
3,8.42084,2.11895,9.04381,0.0215,0.06653,0.07143,0.03131,0.01344,1.87813,5.77311,0.01732,0.000133227,0.000133227,0.000133227
4,9.59393,1.74315,7.50438,0.01143,0.42555,0.24504,0.29434,0.12374,1.78043,5.33153,0.0137,0.000183095,0.000183095,0.000183095
5,10.7439,1.46462,5.54457,0.00888,0.90629,0.31429,0.36665,0.15254,1.98297,5.67542,0.01726,0.000232914,0.000232914,0.000232914
6,11.9287,1.66491,5.0466,0.00977,0.93999,0.31422,0.46464,0.19969,1.96624,5.14783,0.01558,0.000282682,0.000282682,0.000282682
7,13.104,1.6328,4.15829,0.01207,0.82972,0.52,0.5678,0.28149,1.77331,4.19905,0.01386,0.000332401,0.000332401,0.000332401
8,14.3366,1.64346,3.41174,0.01216,0.44449,0.55238,0.47895,0.21904,1.80074,3.68608,0.01623,0.000382069,0.000382069,0.000382069
9,15.5322,1.5997,3.54731,0.01161,0.576,0.42169,0.4277,0.21277,1.81166,3.05341,0.01438,0.000431688,0.000431688,0.000431688
10,16.6957,1.68048,2.7498,0.01075,0.83433,0.34206,0.47089,0.23368,1.8711,2.47647,0.01535,0.000481257,0.000481257,0.000481257
11,17.8524,1.56753,2.52439,0.01131,0.72035,0.5254,0.56376,0.28409,1.86293,2.13089,0.01698,0.000530775,0.000530775,0.000530775
12,19.0336,1.6848,2.32169,0.01133,0.57297,0.49359,0.54329,0.29567,1.77222,1.9075,0.01685,0.000580244,0.000580244,0.000580244
13,20.1849,1.65557,2.17589,0.01111,0.53596,0.45275,0.48418,0.26544,1.81811,1.86403,0.01679,0.000629663,0.000629663,0.000629663
14,21.3014,1.74588,2.24746,0.01112,0.65078,0.46905,0.50752,0.23833,1.87146,1.95784,0.01876,0.000679032,0.000679032,0.000679032
15,22.4064,1.59783,2.22415,0.01529,0.55709,0.5254,0.51655,0.23272,1.95226,1.85427,0.01982,0.000728351,0.000728351,0.000728351
16,23.5385,1.78025,1.85314,0.01243,0.72501,0.54194,0.63658,0.26489,2.03652,1.70244,0.02095,0.00077762,0.00077762,0.00077762
17,24.6476,1.80676,1.71036,0.01148,0.49072,0.49762,0.49053,0.2097,1.95067,1.7879,0.01924,0.000826839,0.000826839,0.000826839
18,25.7763,1.63201,1.56547,0.01298,0.75837,0.43188,0.53577,0.24576,2.00331,1.56849,0.0204,0.000876008,0.000876008,0.000876008
19,26.9396,1.8009,1.754,0.01528,0.65875,0.42619,0.50772,0.24424,1.81929,1.76908,0.01702,0.000925127,0.000925127,0.000925127
20,28.1031,1.75317,1.65955,0.01535,0.40933,0.49762,0.46714,0.2299,1.90625,1.90768,0.01649,0.000974196,0.000974196,0.000974196
21,29.2402,1.70666,1.3354,0.01364,0.52388,0.48333,0.49977,0.24358,1.91328,1.68517,0.01946,0.00102321,0.00102321,0.00102321
22,30.3637,1.66746,1.32706,0.01301,0.76095,0.53889,0.57418,0.24521,2.0209,1.55704,0.02228,0.00107218,0.00107218,0.00107218
23,31.4838,1.66334,1.49178,0.01092,0.55606,0.4992,0.46559,0.18976,2.13848,2.21405,0.02104,0.0011211,0.0011211,0.0011211
24,32.6005,1.68569,1.48119,0.01087,0.50392,0.49683,0.46371,0.20519,2.05307,2.63178,0.02178,0.00116997,0.00116997,0.00116997
25,33.7408,1.7994,1.40234,0.01483,0.51553,0.48333,0.47252,0.21149,2.03865,2.69853,0.02277,0.00121879,0.00121879,0.00121879
26,34.9431,1.79419,1.47128,0.01571,0.49421,0.44206,0.46692,0.22162,2.09173,2.66762,0.02305,0.00126756,0.00126756,0.00126756
27,36.2095,1.57184,1.41607,0.01436,0.50298,0.47434,0.48567,0.21348,2.04959,3.1376,0.02168,0.00131628,0.00131628,0.00131628
28,37.4487,1.69891,1.47469,0.01521,0.38632,0.46984,0.4049,0.17907,2.17664,2.12576,0.0229,0.00136495,0.00136495,0.00136495
29,38.677,1.6473,1.26957,0.01316,0.46956,0.44206,0.4368,0.1838,2.10594,2.30803,0.02222,0.00141357,0.00141357,0.00141357
30,39.8712,1.77766,1.27041,0.01324,0.39452,0.35714,0.40706,0.16147,2.15191,2.74934,0.02045,0.00146214,0.00146214,0.00146214
31,40.9977,1.91465,1.27049,0.01458,0.37102,0.45556,0.37292,0.16939,2.06886,2.47815,0.02032,0.00151066,0.00151066,0.00151066
32,42.1981,1.7102,1.20077,0.01728,0.51313,0.48413,0.43333,0.18328,2.04197,2.40567,0.02083,0.00155913,0.00155913,0.00155913
33,43.3579,1.87541,1.50356,0.01715,0.47773,0.45246,0.41929,0.2043,1.95114,2.36208,0.01693,0.00160755,0.00160755,0.00160755
34,44.534,1.80448,1.23172,0.0119,0.44652,0.43669,0.42179,0.21426,2.08143,2.732,0.02378,0.00163952,0.00163952,0.00163952
35,45.6861,1.75068,1.11251,0.01293,0.41398,0.42698,0.43269,0.21809,2.02949,2.18219,0.0238,0.00163869,0.00163869,0.00163869
36,46.8323,1.81864,1.18164,0.01274,0.39665,0.49687,0.45908,0.22605,1.94181,1.72917,0.01995,0.00163786,0.00163786,0.00163786
37,47.9906,1.73934,1.1378,0.01452,0.37761,0.52589,0.45614,0.21716,1.92814,1.80627,0.0172,0.00163702,0.00163702,0.00163702
38,49.111,1.62401,1.09101,0.01373,0.38696,0.55476,0.47255,0.23667,1.81734,2.02006,0.0178,0.00163619,0.00163619,0.00163619
39,50.2549,1.65421,1.26231,0.01315,0.42524,0.41429,0.44593,0.22714,1.90587,2.11517,0.01939,0.00163536,0.00163536,0.00163536
40,51.4451,1.76071,1.06531,0.01464,0.48884,0.45556,0.46364,0.22877,1.86968,1.995,0.01956,0.00163453,0.00163453,0.00163453
41,52.6337,1.74674,1.18566,0.01223,0.48427,0.49456,0.46973,0.21559,1.93608,1.93157,0.02064,0.00163369,0.00163369,0.00163369
42,53.7671,1.74152,1.13645,0.01404,0.58743,0.45635,0.48261,0.23383,2.00211,1.59015,0.02045,0.00163286,0.00163286,0.00163286
43,54.9197,1.64256,1.10588,0.01111,0.47216,0.566,0.51756,0.24995,1.91533,1.71254,0.01947,0.00163203,0.00163203,0.00163203
44,56.0824,1.7332,1.3007,0.01418,0.51227,0.49841,0.50213,0.2204,1.93886,1.77517,0.01867,0.0016312,0.0016312,0.0016312
45,57.2073,1.66,1.01224,0.0123,0.5146,0.60235,0.51702,0.23967,1.87604,1.87325,0.01805,0.00163036,0.00163036,0.00163036
46,58.3577,1.5632,1.07689,0.01405,0.54877,0.56667,0.54594,0.25489,2.03039,1.57213,0.02062,0.00162953,0.00162953,0.00162953
47,59.5099,1.68624,1.09041,0.01253,0.44456,0.60952,0.533,0.24325,2.03321,1.54956,0.022,0.0016287,0.0016287,0.0016287
48,60.6324,1.75372,1.10918,0.01426,0.44294,0.55397,0.53452,0.2455,2.02871,1.55642,0.02113,0.00162786,0.00162786,0.00162786
49,61.7583,1.80495,1.17994,0.0139,0.63406,0.60492,0.60937,0.2621,2.09485,1.4883,0.02072,0.00162703,0.00162703,0.00162703
50,62.8808,1.73641,1.03663,0.01439,0.56438,0.65159,0.57649,0.25162,2.09288,1.56004,0.02155,0.0016262,0.0016262,0.0016262
51,64.0233,1.64191,0.95831,0.01283,0.47096,0.56825,0.50109,0.23618,1.97725,1.6873,0.01946,0.00162537,0.00162537,0.00162537
52,65.1456,1.63695,1.01322,0.01289,0.45424,0.59524,0.49241,0.23065,1.90119,1.71682,0.02203,0.00162453,0.00162453,0.00162453
53,66.2923,1.68099,1.11604,0.01628,0.64373,0.6373,0.58865,0.2542,1.94281,1.51488,0.02144,0.0016237,0.0016237,0.0016237
54,67.4223,1.59522,0.90719,0.01136,0.59578,0.65159,0.59826,0.26522,1.96227,1.51619,0.02017,0.00162287,0.00162287,0.00162287
55,68.5606,1.67209,0.89275,0.01262,0.50338,0.65159,0.54959,0.24623,1.77423,2.01611,0.01653,0.00162204,0.00162204,0.00162204
56,69.6969,1.56356,0.90364,0.01199,0.47348,0.58254,0.51761,0.25075,1.76932,2.14565,0.01546,0.0016212,0.0016212,0.0016212
57,70.8415,1.65352,0.9948,0.01145,0.50075,0.52698,0.50954,0.23168,1.86864,2.4336,0.01621,0.00162037,0.00162037,0.00162037
58,71.9769,1.61771,1.10369,0.01358,0.37171,0.55476,0.46848,0.20408,1.8496,3.08728,0.01717,0.00161954,0.00161954,0.00161954
59,73.1095,1.53652,1.08455,0.01406,0.31855,0.59603,0.45764,0.18734,1.92085,3.00455,0.01906,0.00161871,0.00161871,0.00161871
60,74.2413,1.5366,1.00128,0.01148,0.38979,0.35714,0.41733,0.19023,2.00341,2.80354,0.02049,0.00161787,0.00161787,0.00161787
61,75.361,1.58054,0.82082,0.01174,0.47537,0.44206,0.47268,0.21434,1.92368,2.18456,0.01919,0.00161704,0.00161704,0.00161704
62,76.5147,1.49736,0.89637,0.01043,0.4674,0.42698,0.39546,0.12781,2.37097,2.13769,0.02205,0.00161621,0.00161621,0.00161621
63,77.6339,1.72416,0.82215,0.0106,0.53608,0.49762,0.43519,0.15297,2.33344,1.87485,0.02392,0.00161537,0.00161537,0.00161537
64,78.7748,1.58766,0.82504,0.01231,0.54518,0.52519,0.53411,0.24992,2.07359,1.48431,0.02129,0.00161454,0.00161454,0.00161454
65,79.8997,1.55166,0.85159,0.01013,0.72385,0.48333,0.52935,0.26175,1.9757,1.48686,0.02012,0.00161371,0.00161371,0.00161371
66,81.0363,1.54478,0.98796,0.01273,0.42265,0.63571,0.46859,0.17374,2.31574,1.69911,0.0227,0.00161288,0.00161288,0.00161288
67,82.1476,1.65397,0.90166,0.01208,0.48287,0.56667,0.48675,0.17159,2.23674,1.65749,0.02183,0.00161204,0.00161204,0.00161204
68,83.2779,1.60509,0.75903,0.01287,0.47846,0.66429,0.54244,0.23368,2.01376,1.52304,0.01902,0.00161121,0.00161121,0.00161121
69,84.3909,1.58738,0.90691,0.0109,0.67096,0.53526,0.52932,0.23204,2.09322,1.51757,0.02021,0.00161038,0.00161038,0.00161038
70,85.5121,1.5999,0.84466,0.01253,0.65784,0.55572,0.54506,0.22136,2.15668,1.52517,0.02087,0.00160955,0.00160955,0.00160955
71,86.6311,1.55819,0.80556,0.01107,0.50961,0.64802,0.57519,0.25677,1.91119,1.4036,0.01874,0.00160871,0.00160871,0.00160871
72,87.779,1.49102,0.76406,0.01237,0.48839,0.62381,0.57893,0.26587,1.9722,1.43149,0.01887,0.00160788,0.00160788,0.00160788
73,88.932,1.55612,0.7632,0.01049,0.53115,0.61758,0.53956,0.26342,1.9492,1.36361,0.01908,0.00160705,0.00160705,0.00160705
74,90.0707,1.48859,0.74092,0.0104,0.70146,0.59966,0.6043,0.26491,1.95639,1.34896,0.01859,0.00160622,0.00160622,0.00160622
75,91.2103,1.47851,0.74783,0.0124,0.5714,0.69286,0.59173,0.27591,1.89981,1.43956,0.01846,0.00160538,0.00160538,0.00160538
76,92.3467,1.56952,0.76514,0.01031,0.58146,0.65794,0.57289,0.28957,1.83106,1.45572,0.01914,0.00160455,0.00160455,0.00160455
77,93.4818,1.61916,0.76222,0.01041,0.52018,0.6373,0.57102,0.29581,1.97827,1.40531,0.02035,0.00160372,0.00160372,0.00160372
